api_context,name,method,path,summary,description,tags,roles,path_parameters,request_body,response_body,error_codes,route_pattern,source_file
v2_2_0,createBank,POST,/banks,Create Bank,Create a new bank (Authenticated access). ${userAuthenticationMessage(true) } ,OldStyle; Bank,CreateBank,,bankJSONV220,bankJSONV220,UnknownError,"case ""banks"" :: Nil JsonPost",APIMethods220.scala
v2_2_0,createBranch,POST,/banks/BANK_ID/branches,Create Branch,Create Branch for the Bank. ${userAuthenticationMessage(true) } ,OpenData; Branch,CreateBranch; CreateBranchAtAnyBank,BANK_ID,,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""branches"" :: Nil",APIMethods220.scala
v2_2_0,createAtm,POST,/banks/BANK_ID/atms,Create ATM,Create ATM for the Bank. ${userAuthenticationMessage(true) } ,ATM,CreateAtm; CreateAtmAtAnyBank,BANK_ID,,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""atms"" :: Nil",APIMethods220.scala
v2_2_0,createProduct,PUT,/banks/BANK_ID/products,Create Product,Create or Update Product for the Bank. ${userAuthenticationMessage(true) } ,Product,CreateProductAtAnyBank; CreateProduct,BANK_ID,,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""products"" :: Nil",APIMethods220.scala
v2_2_0,createFx,PUT,/banks/BANK_ID/fx,Create Fx,"Create or Update Fx for the Bank. Example: “from_currency_code”:“EUR”, “to_currency_code”:“USD”, “conversion_value”: 1.136305, “inverse_conversion_value”: 1 / 1.136305 = 0.8800454103431737, Thus 1 Euro = 1.136305 US Dollar and 1 US Dollar = 0.8800 Euro ${userAuthenticationMessage(true) } ",Fx,CreateFxRateAtAnyBank; CreateFxRate,BANK_ID,,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""fx"" :: Nil",APIMethods220.scala
v2_2_0,createAccount,PUT,/banks/BANK_ID/accounts/ACCOUNT_ID,Create Account,Create Account at bank specified by BANK_ID with Id specified by ACCOUNT_ID. The User can create an Account for themself or an Account for another User if they have CanCreateAccount role. If USER_ID is not specified the account will be owned by the logged in User. The type field should be a product_code from Product. Note: The Amount must be zero.,Account; Onboarding,CreateAccount,BANK_ID; ACCOUNT_ID,createAccountJSONV220,createAccountJSONV220,UserNotFound; BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: Nil",APIMethods220.scala
v2_2_0,config,GET,/config,Get API Configuration,Returns information about: * API Config * Akka ports * Elastic search ports * Cached function,,GetConfig,,configurationJSON,,,"case ""config"" :: Nil JsonGet",APIMethods220.scala
v2_2_0,getConnectorMetrics,GET,/management/connector/metrics,Get Connector Metrics,Get the all metrics require CanGetConnectorMetrics role Filters Part 1.*filtering* (no wilde cards etc.) parameters to GET /management/connector/metrics Should be able to filter on the following metrics fields eg: /management/connector/metrics?from_date=$DateWithMsExampleString&to_date=$DateWithMsExampleString&limit=50&offset=2 1 from_date (defaults to one week before current date): eg:from_date=$DateWithMsExampleString 2 to_date (defaults to current date) eg:to_date=$DateWithMsExampleString 3 l,Api; Metric,GetConnectorMetrics,,,,UnknownError,"""management"" :: ""connector"" :: ""metrics"" :: Nil",APIMethods220.scala
v2_2_0,createConsumer,POST,/management/consumers,Post a Consumer,Create a Consumer (Authenticated access). ,OldStyle; Consumer,CreateConsumer,,ConsumerPostJSON,,UnknownError,"""management"" :: ""consumers"" :: Nil",APIMethods220.scala
v2_2_0,createCounterparty,POST,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/counterparties,Create Counterparty (Explicit),"Create Counterparty (Explicit) for an Account. In OBP, there are two types of Counterparty. * Explicit Counterparties (those here) which we create explicitly and are used in COUNTERPARTY Transaction Requests * Implicit Counterparties (AKA Other Accounts) which are generated automatically from the other sides of Transactions. Explicit Counterparties are created for the account / view They are how the user of the view (e.g. account owner) refers to the other side of the transaction name : the huma",,,BANK_ID; ACCOUNT_ID; VIEW_ID,,,,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ViewId(viewId) :: ""counterparties"" :: Nil",APIMethods220.scala
v3_0_0,getViewsForBankAccount,GET,/banks/BANK_ID/accounts/ACCOUNT_ID/views,Get Views for Account,"#Views Views in Open Bank Project provide a mechanism for fine grained access control and delegation to Accounts and Transactions. Account holders use the 'owner' view by default. Delegated access is made through other views for example 'accountants', 'share-holders' or 'tagging-application'. Views can be created via the API and each view has a list of entitlements. Views on accounts and transactions filter the underlying data to redact certain fields for certain users. For instance the balance ",,,BANK_ID; ACCOUNT_ID,,,,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ""views"" :: Nil",APIMethods300.scala
v3_0_0,createViewForBankAccount,POST,/banks/BANK_ID/accounts/ACCOUNT_ID/views,Create Custom View,Create a custom view on bank account ${userAuthenticationMessage(true)} and the user needs to have access to the owner view. The 'alias' field in the JSON can take one of three values: * _public_: to use the public alias if there is one specified for the other account. * _private_: to use the private alias if there is one specified for the other account. * _''(empty string)_: to use no alias; the view shows the real name of the other account. The 'hide_metadata_if_alias_used' field in the JSON c,Account; View,,BANK_ID; ACCOUNT_ID,SwaggerDefinitionsJSON,,BankAccountNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ""views"" :: Nil",APIMethods300.scala
v3_0_0,getPermissionForUserForBankAccount,GET,/banks/BANK_ID/accounts/ACCOUNT_ID/permissions/PROVIDER/PROVIDER_ID,Get Account access for User,"Returns the list of the views at BANK_ID for account ACCOUNT_ID that a user identified by PROVIDER_ID at their provider PROVIDER has access to. All url parameters must be [%-encoded](http://en.wikipedia.org/wiki/Percent-encoding), which is often especially relevant for USER_ID and PROVIDER. ${userAuthenticationMessage(true)} The user needs to have access to the owner view.",Account; View; User,,BANK_ID; ACCOUNT_ID; PROVIDER; PROVIDER_ID,,,AccountNotFound; BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ""permissions"" :: provider :: providerId :: Nil",APIMethods300.scala
v3_0_0,updateViewForBankAccount,PUT,/banks/BANK_ID/accounts/ACCOUNT_ID/views/VIEW_ID,Update Custom View,"Update an existing custom view on a bank account ${userAuthenticationMessage(true)} and the user needs to have access to the owner view. The json sent is the same as during view creation (above), with one difference: the 'name' field of a view is not editable (it is only set when a view is created)",Account; View,,BANK_ID; ACCOUNT_ID; VIEW_ID,UpdateViewJSON,,BankAccountNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ""views"" :: ViewId(viewId) :: Nil",APIMethods300.scala
v3_0_0,getPrivateAccountById,GET,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/account,Get Account by Id (Full),Information returned about an account specified by ACCOUNT_ID as moderated by the view (VIEW_ID): * Number * Owners * Type * Balance * IBAN * Available views (sorted by short_name) More details about the data moderation by the view [here](#1_2_1-getViewsForBankAccount). PSD2 Context: PSD2 requires customers to have access to their account information via third party applications. This call provides balance and other account information via delegated authentication using OAuth. Authentication is ,,,BANK_ID; ACCOUNT_ID; VIEW_ID,createCoreBankAccountJSON,,,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ViewId(viewId) :: ""account"" :: Nil",APIMethods300.scala
v3_0_0,getPublicAccountById,GET,/banks/BANK_ID/public/accounts/ACCOUNT_ID/VIEW_ID/account,Get Public Account by Id, Returns information about an account that has a public view. The account is specified by ACCOUNT_ID. The information is moderated by the view specified by VIEW_ID. * Number * Owners * Type * Balance * Routing PSD2 Context: PSD2 requires customers to have access to their account information via third party applications. This call provides balance and other account information via delegated authentication using OAuth. ${userAuthenticationMessage(false)} ,,,BANK_ID; ACCOUNT_ID; VIEW_ID,createCoreBankAccountJSON,,,"""banks"" :: BankId(bankId) :: ""public"" :: ""accounts"" :: AccountId(accountId) :: ViewId(viewId) :: ""account"" :: Nil",APIMethods300.scala
v3_0_0,getCoreAccountById,GET,/my/banks/BANK_ID/accounts/ACCOUNT_ID/account,Get Account by Id (Core),Information returned about the account specified by ACCOUNT_ID: * Number - The human readable account number given by the bank that identifies the account. * Label - A label given by the owner of the account * Owners - Users that own this account * Type - The type of account * Balance - Currency and Value * Account Routings - A list that might include IBAN or national account identifiers * Account Rules - A list that might include Overdraft and other bank specific rules This call returns the own,,,BANK_ID; ACCOUNT_ID,,,,"""my"" :: ""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ""account"" :: Nil",APIMethods300.scala
v3_0_0,corePrivateAccountsAllBanks,GET,/my/accounts,Get Accounts at all Banks (private),"Returns the list of accounts containing private views for the user. Each account lists the views available to the user. ${accountTypeFilterText(""/my/accounts"")} ${userAuthenticationMessage(true)} ",Psd2; Account; PSD2AIS; PrivateData,,,createCoreAccountsByCoreAccountsJSON,,UnknownError,"""my"" :: ""accounts"" :: Nil",APIMethods300.scala
v3_0_0,getFirehoseAccountsAtOneBank,GET,/banks/BANK_ID/firehose/accounts/views/VIEW_ID,Get Firehose Accounts at Bank," Get Accounts which have a firehose view assigned to them. This endpoint allows bulk access to accounts. Requires the CanUseFirehoseAtAnyBank Role To be shown on the list, each Account must have a firehose View linked to it. A firehose view has is_firehose = true For VIEW_ID try 'owner' optional request parameters for filter with attributes URL params example: /banks/some-bank-id/firehose/accounts/views/owner?&limit=50&offset=1 to invalid Browser cache, add timestamp query parameter as follow, t",FirehoseData; AccountFirehose; Account,UseAccountFirehose; UseAccountFirehoseAtAnyBank,BANK_ID; VIEW_ID,,,UnknownError,N/A,APIMethods300.scala
v3_0_0,getFirehoseTransactionsForBankAccount,GET,/banks/BANK_ID/firehose/accounts/ACCOUNT_ID/views/VIEW_ID/transactions,Get Firehose Transactions for Account," Get Transactions for an Account that has a firehose View. Allows bulk access to an account's transactions. User must have the CanUseFirehoseAtAnyBank Role To find ACCOUNT_IDs, use the getFirehoseAccountsAtOneBank call. For VIEW_ID try 'owner' ${urlParametersDocument(true, true)} ${userAuthenticationMessage(true)} ",FirehoseData; AccountFirehose; Transaction; TransactionFirehose,UseAccountFirehose; UseAccountFirehoseAtAnyBank,BANK_ID; ACCOUNT_ID; VIEW_ID,,,UnknownError,"""banks"" :: BankId(bankId):: ""firehose"" :: ""accounts"" ::  AccountId(accountId) :: ""views"" :: ViewId(viewId) :: ""transactions"" :: Nil",APIMethods300.scala
v3_0_0,getCoreTransactionsForBankAccount,GET,/my/banks/BANK_ID/accounts/ACCOUNT_ID/transactions,Get Transactions for Account (Core),"Returns transactions list (Core info) of the account specified by ACCOUNT_ID. ${userAuthenticationMessage(true)} ${urlParametersDocument(true, true)} ",Psd2; Account; Transaction; PSD2AIS,,BANK_ID; ACCOUNT_ID,,,FilterDateFormatError; FilterOffersetError; BankAccountNotFound; ViewNotFound; UnknownError; FilterSortDirectionError; FilterLimitError,"""my"" :: ""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ""transactions"" :: Nil",APIMethods300.scala
v3_0_0,getTransactionsForBankAccount,GET,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/transactions,Get Transactions for Account (Full),"Returns transactions list of the account specified by ACCOUNT_ID and [moderated](#1_2_1-getViewsForBankAccount) by the view (VIEW_ID). ${userAuthenticationMessage(false)} Authentication is required if the view is not public. ${urlParametersDocument(true, true)} ",Account; Transaction,,BANK_ID; ACCOUNT_ID; VIEW_ID,,,FilterDateFormatError; FilterOffersetError; BankAccountNotFound; ViewNotFound; UnknownError; FilterSortDirectionError; FilterLimitError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ViewId(viewId) :: ""transactions"" :: Nil",APIMethods300.scala
v3_0_0,dataWarehouseSearch,POST,/search/warehouse/INDEX,Data Warehouse Search," Search the data warehouse and get row level results. ${userAuthenticationMessage(true)} CanSearchWarehouse entitlement is required. You can request the Role below. Elastic (search) is used in the background. See links below for syntax. Examples of usage: POST /search/warehouse/THE_INDEX_YOU_WANT_TO_USE POST /search/warehouse/INDEX1,INDEX2 POST /search/warehouse/ALL { Any valid elasticsearch query DSL in the body } [Elasticsearch query DSL](https://www.elastic.co/guide/en/elasticsearch/reference",SearchWarehouse,SearchWarehouse,INDEX,,,UnknownError,"""search"" :: ""warehouse"" :: index :: Nil",APIMethods300.scala
v3_0_0,dataWarehouseStatistics,POST,/search/warehouse/statistics/INDEX/FIELD,Data Warehouse Statistics, Search the data warehouse and get statistical aggregations over a warehouse field Does a stats aggregation over some numeric field: https://www.elastic.co/guide/en/elasticsearch/reference/current/search-aggregations-metrics-stats-aggregation.html ${userAuthenticationMessage(true)} CanSearchWarehouseStats Role is required. You can request this below. Elastic (search) is used in the background. See links below for syntax. Examples of usage: POST /search/warehouse/statistics/INDEX/FIELD POST /sear,SearchWarehouse,SearchWarehouseStatistics,FIELD; INDEX,,,UnknownError,"""search"" :: ""warehouse"" :: ""statistics"" :: index :: field :: Nil",APIMethods300.scala
v3_0_0,getUser,GET,/users/email/EMAIL/terminator,Get Users by Email Address,"Get users by email address ${userAuthenticationMessage(true)} CanGetAnyUser entitlement is required, ",User,GetAnyUser,EMAIL,createUserJSONs,,UserNotFound; UnknownError,"""users"" :: ""email"" :: email :: ""terminator"" :: Nil",APIMethods300.scala
v3_0_0,getUserByUserId,GET,/users/user_id/USER_ID,Get User by USER_ID,"Get user by USER_ID ${userAuthenticationMessage(true)} CanGetAnyUser entitlement is required, ",User,GetAnyUser,USER_ID; _,createUserJSON,,UserNotFound; UnknownError,"""users"" :: ""user_id"" :: userId :: Nil",APIMethods300.scala
v3_0_0,getUserByUsername,GET,/users/username/USERNAME,Get User by USERNAME,"Get user by USERNAME ${userAuthenticationMessage(true)} CanGetAnyUser entitlement is required, ",User,GetAnyUser,USERNAME,createUserJSON,,UserNotFound; UnknownError,"""users"" :: ""username"" :: username :: Nil",APIMethods300.scala
v3_0_0,getAdapterInfoForBank,GET,/banks/BANK_ID/adapter,Get Adapter Info for a bank,Get basic information about the Adapter listening on behalf of this bank. ${userAuthenticationMessage(true)} ,Api,GetAdapterInfoAtOneBank,BANK_ID,,,UnknownError,"""banks"" :: BankId(bankId) :: ""adapter"" :: Nil",APIMethods300.scala
v3_0_0,createBranch,POST,/banks/BANK_ID/branches,Create Branch,Create Branch for the Bank. ${userAuthenticationMessage(true) } ,Branch,CreateBranch; CreateBranchAtAnyBank,BANK_ID,,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""branches"" :: Nil",APIMethods300.scala
v3_0_0,updateBranch,PUT,/banks/BANK_ID/branches/BRANCH_ID,Update Branch,Update an existing branch for a bank account (Authenticated access). ${userAuthenticationMessage(true) } ,Branch,UpdateBranch,BANK_ID; BRANCH_ID,,,BankNotFound; UnknownError,N/A,APIMethods300.scala
v3_0_0,createAtm,POST,/banks/BANK_ID/atms,Create ATM,Create ATM for the Bank. ${userAuthenticationMessage(true) } ,ATM,CreateAtm; CreateAtmAtAnyBank,BANK_ID,,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""atms"" :: Nil",APIMethods300.scala
v3_0_0,getBranch,GET,/banks/BANK_ID/branches/BRANCH_ID,Get Branch,Returns information about a single Branch specified by BANK_ID and BRANCH_ID including: * Name * Address * Geo Location * License the data under this endpoint is released under. ${userAuthenticationMessage(!getBranchesIsPublic)},Bank; Branch,,BANK_ID; BRANCH_ID,,,BranchNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""branches"" :: BranchId(branchId) :: Nil",APIMethods300.scala
v3_0_0,getBranches,GET,/banks/BANK_ID/branches,Get Branches for a Bank,"Returns information about branches for a single bank specified by BANK_ID including: * Name * Address * Geo Location * License the data under this endpoint is released under * Structured opening hours * Accessible flag * Branch Type * More Info Pagination: By default, 50 records are returned. You can use the url query parameters *limit* and *offset* for pagination You can also use the follow url query parameters: - city - string, find Branches those in this city, optional - withinMetersOf - numb",Bank; Branch,,BANK_ID,,,BranchesNotFound; BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""branches"" :: Nil",APIMethods300.scala
v3_0_0,getAtm,GET,/banks/BANK_ID/atms/ATM_ID,Get Bank ATM,Returns information about ATM for a single bank specified by BANK_ID and ATM_ID including: * Address * Geo Location * License the data under this endpoint is released under ${userAuthenticationMessage(!getAtmsIsPublic)},ATM,,BANK_ID; ATM_ID,,,BankNotFound; AtmNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""atms"" :: AtmId(atmId) :: Nil",APIMethods300.scala
v3_0_0,getAtms,GET,/banks/BANK_ID/atms,Get Bank ATMS,"Returns information about ATMs for a single bank specified by BANK_ID including: * Address * Geo Location * License the data under this endpoint is released under Pagination: By default, 100 records are returned. You can use the url query parameters *limit* and *offset* for pagination ${userAuthenticationMessage(!getAtmsIsPublic)}",ATM,,BANK_ID,,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""atms"" :: Nil",APIMethods300.scala
v3_0_0,getUsers,GET,/users,Get all Users,"Get all users ${userAuthenticationMessage(true)} CanGetAnyUser entitlement is required, ${urlParametersDocument(false, false)} * locked_status (if null ignore) ",User,GetAnyUser,,createUserJSONs,,UnknownError,"case ""users"" :: Nil JsonGet",APIMethods300.scala
v3_0_0,getCustomersForUser,GET,/users/current/customers,Get Customers for Current User,Gets all Customers that are linked to a User. ${userAuthenticationMessage(true)} ,Customer; User,,,,,UserCustomerLinksNotFound; UnknownError,"""users"" :: ""current"" :: ""customers"" :: Nil",APIMethods300.scala
v3_0_0,privateAccountsAtOneBank,GET,/banks/BANK_ID/accounts/private,Get Accounts at Bank (Minimal),"Returns the minimal list of private accounts at BANK_ID that the user has access to. For each account, the API returns the ID, routing addresses and the views available to the current user. If you want to see more information on the Views, use the Account Detail call. ${accountTypeFilterText(""/banks/BANK_ID/accounts/private"")} ${userAuthenticationMessage(true)}",Psd2; Account; PSD2AIS,,BANK_ID,createCoreAccountsByCoreAccountsJSON,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: ""private"" :: Nil",APIMethods300.scala
v3_0_0,getPrivateAccountIdsbyBankId,GET,/banks/BANK_ID/accounts/account_ids/private,Get Accounts at Bank (IDs only),"Returns only the list of accounts ids at BANK_ID that the user has access to. Each account must have at least one private View. For each account the API returns its account ID. If you want to see more information on the Views, use the Account Detail call. ${accountTypeFilterText(""/banks/BANK_ID/accounts/account_ids/private"")} ${userAuthenticationMessage(true)}",Psd2; Account; PSD2AIS,,BANK_ID; _,,,BankNotFound; UnknownError,N/A,APIMethods300.scala
v3_0_0,getOtherAccountsForBankAccount,GET,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/other_accounts,Get Other Accounts of one Account,Returns data about all the other accounts that have shared at least one transaction with the ACCOUNT_ID at BANK_ID. ${userAuthenticationMessage(false)} Authentication is required if the view VIEW_ID is not public.,Account; Counterparty,,BANK_ID; ACCOUNT_ID; VIEW_ID; _,,,BankAccountNotFound; ViewNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ViewId(viewId) :: ""other_accounts"" :: Nil",APIMethods300.scala
v3_0_0,getOtherAccountByIdForBankAccount,GET,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/other_accounts/OTHER_ACCOUNT_ID,Get Other Account by Id,Returns data about the Other Account that has shared at least one transaction with ACCOUNT_ID at BANK_ID. ${userAuthenticationMessage(false)} Authentication is required if the view is not public.,Account; Counterparty,,BANK_ID; VIEW_ID; OTHER_ACCOUNT_ID; ACCOUNT_ID; _,,,BankAccountNotFound; ViewNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ViewId(viewId) :: ""other_accounts"":: other_account_id :: Nil",APIMethods300.scala
v3_0_0,addEntitlementRequest,POST,/entitlement-requests,Create Entitlement Request for current User,"Create Entitlement Request. Any logged in User can use this endpoint to request an Entitlement Entitlements are used to grant System or Bank level roles to Users. (For Account level privileges, see Views) For a System level Role (.e.g CanGetAnyUser), set bank_id to an empty string i.e. ""bank_id"":"""" For a Bank level Role (e.g. CanCreateAccount), set bank_id to a valid value e.g. ""bank_id"":""my-bank-id"" ${userAuthenticationMessage(true)} ",Entitlement; Role; User,,,SwaggerDefinitionsJSON,,UserNotFound; UnknownError,"case ""entitlement-requests"" :: Nil JsonPost",APIMethods300.scala
v3_0_0,getAllEntitlementRequests,GET,/entitlement-requests,Get all Entitlement Requests, Get all Entitlement Requests ${userAuthenticationMessage(true)},Entitlement; Role; User,GetEntitlementRequestsAtAnyBank,,entitlementRequestsJSON,,UnknownError,"case ""entitlement-requests"" :: Nil JsonGet",APIMethods300.scala
v3_0_0,getEntitlementRequests,GET,/users/USER_ID/entitlement-requests,Get Entitlement Requests for a User,Get Entitlement Requests for a User. ${userAuthenticationMessage(true)} ,Entitlement; Role; User,GetEntitlementRequestsAtAnyBank,USER_ID,entitlementRequestsJSON,,UnknownError,"""users"" :: userId :: ""entitlement-requests"" :: Nil",APIMethods300.scala
v3_0_0,getEntitlementRequestsForCurrentUser,GET,/my/entitlement-requests,Get Entitlement Requests for the current User,Get Entitlement Requests for the current User. ${userAuthenticationMessage(true)} ,Entitlement; Role; User,,,entitlementRequestsJSON,,UnknownError,"""my"" :: ""entitlement-requests"" :: Nil",APIMethods300.scala
v3_0_0,deleteEntitlementRequest,DELETE,/entitlement-requests/ENTITLEMENT_REQUEST_ID,Delete Entitlement Request,Delete the Entitlement Request specified by ENTITLEMENT_REQUEST_ID for a user specified by USER_ID ${userAuthenticationMessage(true)},Entitlement; Role; User,DeleteEntitlementRequestsAtAnyBank,ENTITLEMENT_REQUEST_ID,entitlementJSONs,entitlementJSONs,UnknownError,"""entitlement-requests"" :: entitlementRequestId :: Nil",APIMethods300.scala
v3_0_0,getEntitlementsForCurrentUser,GET,/my/entitlements,Get Entitlements for the current User,Get Entitlements for the current User. ${userAuthenticationMessage(true)} ,Entitlement; Role; User,,,entitlementJSONs,entitlementJSONs,UnknownError,"""my"" :: ""entitlements"" :: Nil",APIMethods300.scala
v3_0_0,getApiGlossary,GET,/api/glossary,Get Glossary of the API,Get API Glossary Returns the glossary of the API ,,,,,,UnknownError,"""api"" :: ""glossary"" :: Nil",APIMethods300.scala
